time,region,category,cpi,purchase_volume,log_unit_value
0,Northeast,Grains,1.1151208265261445,0.15220429406811792,-0.8570239307610396
1,Northeast,Grains,-1.3697073049830661,0.2391339149326086,-0.3220503373272701
2,Northeast,Grains,1.1696454757144343,0.3781356342757741,0.10007583758806199
3,Northeast,Grains,0.6637946040420246,0.7726767379510484,0.06835756294870138
4,Northeast,Grains,-0.3205014593082565,0.0493907726680239,-0.14369006667723638
5,Northeast,Grains,-0.04081946747864523,0.6243331065828248,-0.10174806695010347
6,Northeast,Grains,0.7370872633311599,0.5907917637097916,0.09440992487443083
7,Northeast,Grains,0.7964818073487725,0.005766299242774645,0.6096713333554107
8,Northeast,Grains,-0.35706445362743033,0.33798476712157327,1.1937981236553057
9,Northeast,Grains,0.3172056265433553,1.0194166165526868,-0.10151902911486957
10,Northeast,Grains,-0.3065389400796497,0.2992963039395798,-0.5167176072694666
11,Northeast,Grains,-0.518444441927846,0.18069455726318742,-0.33859217660473134
12,Northeast,Grains,0.5513238985095964,0.1951225446537137,-0.22412831423002108
13,Northeast,Grains,-0.4343192948416283,0.12205464020371437,-0.5683572067932592
14,Northeast,Grains,-0.3977920988289497,0.1448095552623272,-0.30406830584857747
15,Northeast,Grains,0.2350985181630469,0.6574734362183094,0.1418291158240664
16,Northeast,Grains,0.6540077023744612,0.42005874744306004,-0.19096910662598093
17,Northeast,Grains,0.7692006408575329,0.8736558040944816,-0.41841343780900836
18,Northeast,Grains,-0.7680516721937696,0.7588652943291347,-0.5325615037761914
19,Northeast,Grains,-0.3809674954904821,0.7261209450382076,0.5673223906797358
20,Northeast,Grains,-0.33735836851171985,0.7195336762535653,0.27808508928566833
21,Northeast,Grains,-0.2631727772445744,0.8225059297897499,-0.803087266256086
22,Northeast,Grains,0.685677008842967,1.9609812198949181,-0.10702347287365566
23,Northeast,Grains,0.0030446810420315397,0.07920503554244836,0.34931467779866815
24,Northeast,Grains,0.20031944295126491,1.108877562632103,-0.7820746419320808
25,Northeast,Grains,0.07602941803873316,0.32852651040801706,-0.002630149083810203
26,Northeast,Grains,0.17709836885277183,1.5314778423959257,-0.4012180486344829
27,Northeast,Grains,-0.4853665740009764,0.12033957429230213,-0.5145857716102842
28,Northeast,Grains,-0.04869162337229896,0.8170337515292646,-0.7286126931776991
29,Northeast,Grains,1.2801865123724754,0.2570334241415063,0.6959343880526379
30,Northeast,Grains,-0.5763276018480339,0.12941868758034586,-0.15522839007588937
